Dia;Hora;Temp Amb [ºC];Umidade [%];T1 [ºC];T2 [ºC];T3 [ºC];Isc [mA];Tensão [V];Corrente [mA]
29/10/2019;05:00;21.0;22.0;21.125;21.1875;21.1875;-0.30000001192092896;0.012000000104308128;0.0
29/10/2019;05:02;21.0;22.0;21.125;21.125;21.125;-0.10000000149011612;0.012000000104308128;-0.20000000298023224
29/10/2019;05:03;21.0;22.0;21.125;21.125;21.125;-0.10000000149011612;0.012000000104308128;-0.30000001192092896
29/10/2019;05:04;21.0;22.0;21.125;21.1875;21.1875;-0.10000000149011612;0.012000000104308128;-0.10000000149011612
29/10/2019;05:05;21.0;22.0;21.125;21.125;21.1875;-0.10000000149011612;0.00800000037997961;-0.10000000149011612
29/10/2019;05:06;21.0;22.0;21.125;21.125;21.1875;-0.10000000149011612;0.01600000075995922;-0.30000001192092896
29/10/2019;05:08;21.0;22.0;21.125;21.125;21.125;-0.10000000149011612;0.012000000104308128;-0.10000000149011612
29/10/2019;05:09;21.0;22.0;21.125;21.125;21.125;-0.10000000149011612;0.012000000104308128;-0.4000000059604645
29/10/2019;05:10;21.0;22.0;21.125;21.125;21.125;-0.10000000149011612;0.012000000104308128;-0.10000000149011612
29/10/2019;05:11;21.0;22.0;21.125;21.125;21.125;-0.10000000149011612;0.012000000104308128;0.10000000149011612
29/10/2019;05:13;21.0;22.0;21.0625;21.125;21.125;-0.10000000149011612;0.012000000104308128;0.0
29/10/2019;05:14;21.0;22.0;21.0625;21.125;21.125;-0.10000000149011612;0.012000000104308128;-0.30000001192092896
29/10/2019;05:15;21.0;22.0;21.125;21.125;21.125;-0.10000000149011612;0.00800000037997961;-0.10000000149011612
29/10/2019;05:16;21.0;22.0;21.0625;21.125;21.125;-0.10000000149011612;0.012000000104308128;-0.20000000298023224
29/10/2019;05:18;21.0;22.0;21.0625;21.125;21.125;0.0;0.012000000104308128;-0.20000000298023224
29/10/2019;05:19;21.0;22.0;21.0625;21.0625;21.125;0.0;0.012000000104308128;0.10000000149011612
29/10/2019;05:20;21.0;22.0;21.0625;21.0625;21.0625;0.0;0.012000000104308128;0.0
29/10/2019;05:22;21.0;22.0;21.0625;21.0625;21.125;0.0;0.01600000075995922;-0.10000000149011612
29/10/2019;05:23;21.0;22.0;21.125;21.0625;21.125;0.0;0.012000000104308128;-0.10000000149011612
29/10/2019;05:24;21.0;22.0;21.125;21.0625;21.125;0.0;0.01600000075995922;0.20000000298023224
29/10/2019;05:25;21.0;22.0;21.125;21.125;21.125;0.0;0.019999999552965164;0.10000000149011612
29/10/2019;05:26;21.0;22.0;21.125;21.125;21.125;0.0;0.019999999552965164;0.10000000149011612
29/10/2019;05:28;21.0;22.0;21.125;21.125;21.125;0.0;0.019999999552965164;0.30000001192092896
29/10/2019;05:29;21.0;22.0;21.125;21.125;21.125;0.0;0.024000000208616257;0.20000000298023224
29/10/2019;05:30;21.0;22.0;21.125;21.125;21.125;0.0;0.02800000086426735;0.5
29/10/2019;05:31;21.0;22.0;21.125;21.125;21.125;0.0;0.03200000151991844;0.30000001192092896
29/10/2019;05:33;21.0;22.0;21.125;21.125;21.125;0.6000000238418579;0.035999998450279236;1.0
29/10/2019;05:34;21.0;22.0;21.125;21.125;21.125;0.6000000238418579;0.03200000151991844;0.699999988079071
29/10/2019;05:35;21.0;22.0;21.125;21.125;21.125;0.6000000238418579;0.03200000151991844;0.699999988079071
29/10/2019;05:37;21.0;22.0;21.125;21.125;21.125;0.6000000238418579;0.03200000151991844;0.4000000059604645
29/10/2019;05:38;21.0;22.0;21.125;21.125;21.125;0.6000000238418579;0.035999998450279236;0.800000011920929
29/10/2019;05:39;21.0;22.0;21.125;21.125;21.125;0.6000000238418579;0.035999998450279236;0.6000000238418579
29/10/2019;05:41;21.0;22.0;21.125;21.125;21.125;0.6000000238418579;0.04800000041723251;1.100000023841858
29/10/2019;05:43;21.0;22.0;21.125;21.125;21.125;0.6000000238418579;0.0560000017285347;1.100000023841858
29/10/2019;05:44;21.0;22.0;21.125;21.125;21.125;0.6000000238418579;0.06400000303983688;1.5
29/10/2019;05:45;21.0;22.0;21.125;21.125;21.125;0.6000000238418579;0.09200000017881393;2.4000000953674316
29/10/2019;05:46;21.0;22.0;21.125;21.125;21.125;0.6000000238418579;0.11599999666213989;3.299999952316284
29/10/2019;05:47;21.0;22.0;21.125;21.125;21.1875;0.6000000238418579;0.13600000739097595;4.0
29/10/2019;05:49;21.0;22.0;21.1875;21.1875;21.1875;4.300000190734863;0.14800000190734863;4.400000095367432
29/10/2019;05:51;21.0;22.0;21.1875;21.1875;21.25;4.300000190734863;0.1720000058412552;5.199999809265137
29/10/2019;05:52;21.0;22.0;21.25;21.1875;21.25;4.300000190734863;0.20800000429153442;6.300000190734863
29/10/2019;05:53;21.0;22.0;21.25;21.25;21.25;4.300000190734863;0.2280000001192093;6.900000095367432
29/10/2019;05:54;21.0;22.0;21.3125;21.25;21.3125;4.300000190734863;0.25999999046325684;8.300000190734863
29/10/2019;05:55;21.0;22.0;21.3125;21.3125;21.3125;4.300000190734863;0.29600000381469727;9.0
29/10/2019;05:57;21.0;22.0;21.3125;21.3125;21.3125;4.300000190734863;0.335999995470047;10.699999809265137
29/10/2019;05:58;21.0;22.0;21.3125;21.3125;21.375;4.300000190734863;0.41200000047683716;12.899999618530273
29/10/2019;05:59;21.0;22.0;21.3125;21.3125;21.3125;4.300000190734863;0.4519999921321869;14.199999809265137
