Dia;Hora;Temp Amb [ºC];Umidade [%];T1 [ºC];T2 [ºC];T3 [ºC];Isc [mA];Tensão [V];Corrente [mA]
29/10/2019;15:18;12.0;77.0;22.625;23.0625;22.625;88.69999694824219;2.5399999618530273;81.5
29/10/2019;15:19;1.0;82.0;22.5625;23.125;22.75;88.69999694824219;2.5199999809265137;80.5
29/10/2019;15:20;1.0;81.0;22.5;23.125;22.75;88.69999694824219;2.4719998836517334;79.0999984741211
29/10/2019;15:22;1.0;81.0;22.6875;23.25;22.875;88.69999694824219;2.3480000495910645;74.69999694824219
29/10/2019;15:23;1.0;21.0;22.75;23.3125;22.9375;88.69999694824219;2.131999969482422;68.0999984741211
29/10/2019;15:24;1.0;21.0;22.6875;23.25;22.875;88.69999694824219;1.7120000123977661;54.5
29/10/2019;15:25;60.0;31.0;22.6875;23.0625;22.5;88.69999694824219;1.5959999561309814;51.0
29/10/2019;15:27;1.0;21.0;22.4375;22.875;22.375;88.69999694824219;1.5360000133514404;48.79999923706055
29/10/2019;15:28;1.0;21.0;22.25;22.6875;22.3125;46.79999923706055;1.496000051498413;47.900001525878906
29/10/2019;15:30;1.0;21.0;22.0625;22.5;22.1875;46.79999923706055;1.4240000247955322;45.5
29/10/2019;15:31;1.0;21.0;21.9375;22.25;22.0625;46.79999923706055;1.3320000171661377;42.5
29/10/2019;15:32;1.0;21.0;22.0;22.3125;22.125;46.79999923706055;1.340000033378601;42.599998474121094
29/10/2019;15:33;1.0;32.0;22.0;22.3125;22.125;46.79999923706055;1.371999979019165;44.0
29/10/2019;15:34;1.0;21.0;22.0625;22.25;22.125;46.79999923706055;1.3919999599456787;44.099998474121094
29/10/2019;15:36;1.0;21.0;22.125;22.3125;22.125;46.79999923706055;1.3880000114440918;44.0
29/10/2019;15:37;1.0;21.0;22.1875;22.5;22.1875;46.79999923706055;1.3639999628067017;43.400001525878906
29/10/2019;15:38;1.0;21.0;22.1875;22.5;22.25;46.79999923706055;1.3519999980926514;43.0
29/10/2019;15:39;1.0;21.0;22.125;22.4375;22.25;46.79999923706055;1.3320000171661377;42.20000076293945
29/10/2019;15:40;1.0;21.0;22.0625;22.3125;22.1875;46.79999923706055;1.315999984741211;41.599998474121094
29/10/2019;15:42;1.0;70.0;22.125;22.375;22.125;46.79999923706055;1.315999984741211;41.79999923706055
29/10/2019;15:43;1.0;21.0;22.1875;22.375;22.125;45.400001525878906;1.399999976158142;44.599998474121094
29/10/2019;15:45;1.0;21.0;22.1875;22.3125;21.9375;45.400001525878906;1.4880000352859497;47.099998474121094
29/10/2019;15:46;1.0;21.0;22.125;22.25;21.875;45.400001525878906;1.531999945640564;48.79999923706055
29/10/2019;15:47;1.0;21.0;22.0;22.1875;21.875;45.400001525878906;1.5800000429153442;50.0
29/10/2019;15:48;1.0;21.0;22.0625;22.3125;22.0625;45.400001525878906;1.6119999885559082;51.29999923706055
29/10/2019;15:49;5.0;19.0;22.3125;22.5625;22.25;45.400001525878906;1.6200000047683716;51.5
29/10/2019;15:51;36.0;4.0;22.25;22.5625;22.3125;45.400001525878906;1.6080000400543213;51.099998474121094
29/10/2019;15:52;1.0;21.0;22.1875;22.375;22.0625;45.400001525878906;1.5759999752044678;50.0
29/10/2019;15:53;1.0;21.0;21.9375;22.1875;22.0;45.400001525878906;1.531999945640564;48.70000076293945
29/10/2019;15:54;1.0;21.0;21.875;22.125;21.9375;45.400001525878906;1.4800000190734863;47.29999923706055
29/10/2019;15:56;12.0;16.0;21.875;22.125;21.9375;45.400001525878906;1.371999979019165;43.70000076293945
29/10/2019;15:57;1.0;21.0;21.9375;22.1875;22.0625;45.400001525878906;1.3839999437332153;44.0
29/10/2019;15:58;1.0;21.0;22.0;22.1875;22.0625;45.400001525878906;1.4639999866485596;46.5
