Dia;Hora;Temp Amb [ºC];Umidade [%];T1 [ºC];T2 [ºC];T3 [ºC];Isc [mA];Tensão [V];Corrente [mA]
24/10/2019;16:00;36.0;15.0;36.1875;38.3125;36.6875;336.20001220703125;10.088000297546387;328.70001220703125
24/10/2019;16:02;36.0;15.0;36.5;38.3125;36.75;336.20001220703125;10.027999877929688;327.0
24/10/2019;16:03;37.0;14.0;36.25;38.375;36.9375;336.20001220703125;9.968000411987305;324.8999938964844
24/10/2019;16:04;37.0;14.0;36.5;38.5625;37.0625;336.20001220703125;9.85200023651123;320.8999938964844
24/10/2019;16:05;37.0;14.0;36.625;38.25;36.6875;336.20001220703125;9.800000190734863;319.3999938964844
24/10/2019;16:06;37.0;14.0;36.25;38.375;37.0;336.20001220703125;9.583999633789062;312.20001220703125
24/10/2019;16:08;37.0;14.0;36.3125;38.25;36.6875;336.20001220703125;9.527999877929688;310.5
24/10/2019;16:09;36.0;15.0;36.875;38.0;36.0625;336.20001220703125;9.435999870300293;307.3999938964844
24/10/2019;16:10;36.0;15.0;36.5;38.0;36.0;336.20001220703125;9.347999572753906;304.79998779296875
24/10/2019;16:11;34.0;16.0;36.9375;37.625;35.3125;336.20001220703125;9.35200023651123;305.1000061035156
24/10/2019;16:13;35.0;15.0;35.9375;37.0625;35.25;300.3999938964844;9.244000434875488;301.1000061035156
24/10/2019;16:14;36.0;15.0;35.375;37.0625;35.5625;300.3999938964844;9.055999755859375;295.0
24/10/2019;16:15;36.0;15.0;34.4375;36.6875;35.875;300.3999938964844;8.956000328063965;291.79998779296875
24/10/2019;16:17;37.0;14.0;35.0;36.75;35.875;300.3999938964844;8.868000030517578;288.79998779296875
24/10/2019;16:18;37.0;14.0;35.0625;36.8125;35.875;300.3999938964844;8.727999687194824;284.29998779296875
24/10/2019;16:19;38.0;14.0;34.9375;36.8125;35.9375;300.3999938964844;8.484000205993652;276.20001220703125
24/10/2019;16:20;38.0;14.0;34.4375;36.375;35.75;300.3999938964844;8.428000450134277;274.29998779296875
24/10/2019;16:21;38.0;14.0;34.75;36.375;35.75;300.3999938964844;8.279999732971191;269.3999938964844
24/10/2019;16:23;38.0;14.0;34.8125;36.3125;35.75;300.3999938964844;8.156000137329102;265.3999938964844
24/10/2019;16:24;37.0;14.0;34.4375;36.0625;35.6875;300.3999938964844;8.027999877929688;261.5
24/10/2019;16:25;36.0;15.0;34.375;35.125;34.875;300.3999938964844;7.664000034332275;249.5
24/10/2019;16:26;36.0;15.0;33.875;35.125;35.25;300.3999938964844;3.2279999256134033;104.69999694824219
24/10/2019;16:27;36.0;15.0;34.25;35.0;34.75;300.3999938964844;2.368000030517578;76.69999694824219
24/10/2019;16:29;35.0;15.0;34.1875;34.5625;33.8125;87.5999984741211;2.503999948501587;80.9000015258789
24/10/2019;16:31;35.0;15.0;33.3125;34.3125;33.3125;87.5999984741211;1.7719999551773071;57.0
24/10/2019;16:32;37.0;14.0;31.6875;33.25;31.9375;87.5999984741211;2.5920000076293945;84.0
24/10/2019;16:33;37.0;14.0;31.125;32.4375;31.5625;87.5999984741211;6.843999862670898;222.3000030517578
24/10/2019;16:34;37.0;14.0;30.8125;31.8125;31.0625;87.5999984741211;5.923999786376953;192.5
24/10/2019;16:35;36.0;15.0;31.25;31.6875;30.75;87.5999984741211;6.51200008392334;211.39999389648438
24/10/2019;16:37;37.0;14.0;31.375;31.875;31.75;87.5999984741211;6.400000095367432;207.8000030517578
24/10/2019;16:38;37.0;14.0;31.8125;32.375;33.5625;87.5999984741211;6.236000061035156;202.60000610351562
24/10/2019;16:39;37.0;14.0;31.6875;32.5625;34.0625;87.5999984741211;6.1479997634887695;199.6999969482422
24/10/2019;16:40;38.0;14.0;31.8125;32.625;34.375;87.5999984741211;6.0320000648498535;195.89999389648438
24/10/2019;16:41;38.0;14.0;32.0625;32.8125;34.75;87.5999984741211;5.947999954223633;193.1999969482422
24/10/2019;16:43;38.0;14.0;32.3125;32.8125;34.8125;87.5999984741211;5.843999862670898;189.89999389648438
24/10/2019;16:44;38.0;14.0;32.375;33.0;35.3125;180.5;5.624000072479248;182.60000610351562
24/10/2019;16:46;37.0;14.0;32.4375;33.0;35.3125;180.5;5.415999889373779;175.5
24/10/2019;16:47;38.0;14.0;31.75;32.6875;35.5625;180.5;5.340000152587891;173.5
24/10/2019;16:48;38.0;14.0;31.8125;32.625;35.4375;180.5;5.23199987411499;169.8000030517578
24/10/2019;16:49;38.0;14.0;32.125;32.75;35.4375;180.5;5.044000148773193;163.8000030517578
24/10/2019;16:50;36.0;15.0;32.0;32.375;34.3125;180.5;4.8520002365112305;157.3000030517578
24/10/2019;16:52;36.0;15.0;31.9375;32.4375;34.375;180.5;4.739999771118164;153.89999389648438
24/10/2019;16:53;36.0;15.0;32.125;32.375;34.1875;180.5;4.639999866485596;150.39999389648438
24/10/2019;16:54;36.0;15.0;32.0;32.25;34.0625;180.5;4.507999897003174;146.39999389648438
24/10/2019;16:55;37.0;14.0;31.8125;32.1875;34.0625;180.5;4.443999767303467;144.10000610351562
24/10/2019;16:56;37.0;14.0;31.625;32.0625;33.875;180.5;4.26800012588501;138.39999389648438
24/10/2019;16:58;36.0;15.0;31.75;31.9375;33.8125;180.5;4.203999996185303;136.39999389648438
24/10/2019;16:59;37.0;14.0;31.5;31.9375;34.0625;180.5;4.104000091552734;133.1999969482422
