Dia;Hora;Temp Amb [ºC];Umidade [%];T1 [ºC];T2 [ºC];T3 [ºC];Isc [mA];Tensão [V];Corrente [mA]
25/10/2019;10:00;30.0;26.0;38.125;38.625;37.6875;154.89999389648438;4.97599983215332;162.3000030517578
25/10/2019;10:01;30.0;26.0;36.6875;37.6875;36.5625;154.89999389648438;14.604000091552734;477.6000061035156
25/10/2019;10:03;30.0;26.0;35.0;36.6875;34.4375;154.89999389648438;16.827999114990234;550.5999755859375
25/10/2019;10:04;30.0;30.0;35.4375;37.75;35.875;154.89999389648438;16.86400032043457;552.4000244140625
25/10/2019;10:05;30.0;27.0;36.5625;38.8125;37.1875;154.89999389648438;16.691999435424805;546.7000122070312
25/10/2019;10:06;30.0;27.0;37.625;39.625;37.3125;154.89999389648438;6.892000198364258;225.0
25/10/2019;10:07;30.0;27.0;36.0;39.0625;36.875;154.89999389648438;15.859999656677246;519.2000122070312
25/10/2019;10:09;30.0;25.0;37.0;39.625;37.0625;154.89999389648438;16.784000396728516;549.5999755859375
25/10/2019;10:10;30.0;30.0;36.9375;40.25;37.5;154.89999389648438;17.107999801635742;560.7000122070312
25/10/2019;10:11;30.0;25.0;38.375;41.1875;38.625;154.89999389648438;13.043999671936035;427.0
25/10/2019;10:12;31.0;24.0;39.5625;42.1875;39.8125;154.89999389648438;5.199999809265137;169.6999969482422
25/10/2019;10:14;31.0;24.0;38.375;41.6875;39.125;154.89999389648438;5.199999809265137;169.60000610351562
25/10/2019;10:15;30.0;24.0;36.375;39.1875;36.75;179.8000030517578;5.111999988555908;166.60000610351562
25/10/2019;10:16;29.0;24.0;35.75;37.875;35.125;179.8000030517578;7.572000026702881;246.6999969482422
25/10/2019;10:18;29.0;24.0;34.625;36.4375;33.6875;179.8000030517578;10.552000045776367;344.0
25/10/2019;10:19;29.0;24.0;34.5625;36.375;33.5;179.8000030517578;5.748000144958496;187.3000030517578
25/10/2019;10:20;29.0;25.0;34.5;36.75;34.3125;179.8000030517578;5.079999923706055;165.1999969482422
25/10/2019;10:21;27.0;25.0;33.375;34.9375;32.9375;179.8000030517578;7.144000053405762;232.3000030517578
25/10/2019;10:22;26.0;31.0;32.625;33.9375;32.4375;179.8000030517578;15.956000328063965;520.0999755859375
25/10/2019;10:24;26.0;26.0;32.5;33.75;32.3125;179.8000030517578;17.31999969482422;564.7999877929688
25/10/2019;10:25;26.0;26.0;33.75;34.9375;33.5625;179.8000030517578;17.323999404907227;565.9000244140625
25/10/2019;10:26;26.0;27.0;34.9375;36.625;35.8125;179.8000030517578;17.26799964904785;564.0999755859375
25/10/2019;10:27;27.0;26.0;38.1875;39.75;38.5;179.8000030517578;12.815999984741211;418.6000061035156
25/10/2019;10:29;28.0;31.0;37.3125;39.875;39.0;179.8000030517578;17.459999084472656;570.7000122070312
25/10/2019;10:30;29.0;26.0;37.75;40.125;39.125;179.8000030517578;10.460000038146973;341.79998779296875
25/10/2019;10:32;30.0;27.0;38.9375;41.5;40.625;456.5;9.600000381469727;313.6000061035156
25/10/2019;10:33;29.0;25.0;39.75;41.6875;40.6875;456.5;16.871999740600586;551.9000244140625
25/10/2019;10:34;29.0;25.0;40.4375;42.6875;41.3125;456.5;13.631999969482422;446.20001220703125
25/10/2019;10:35;28.0;30.0;40.5625;42.0;40.8125;456.5;14.355999946594238;469.70001220703125
25/10/2019;10:36;28.0;25.0;39.0625;41.5625;41.6875;456.5;11.935999870300293;390.0
25/10/2019;10:38;27.0;25.0;38.8125;40.8125;41.1875;456.5;13.312000274658203;435.29998779296875
25/10/2019;10:39;27.0;25.0;38.1875;39.625;40.1875;456.5;15.784000396728516;516.2000122070312
25/10/2019;10:40;27.0;26.0;38.5;38.9375;38.8125;456.5;15.312000274658203;500.70001220703125
25/10/2019;10:41;27.0;30.0;39.6875;40.3125;39.6875;456.5;11.795999526977539;385.5
25/10/2019;10:42;28.0;26.0;40.4375;41.125;40.75;456.5;13.883999824523926;454.0
25/10/2019;10:44;29.0;25.0;40.1875;41.25;39.9375;456.5;7.308000087738037;238.39999389648438
25/10/2019;10:45;30.0;25.0;39.4375;40.8125;39.375;456.5;6.984000205993652;227.60000610351562
25/10/2019;10:47;28.0;25.0;37.3125;38.625;37.625;253.1999969482422;7.639999866485596;249.0
25/10/2019;10:48;28.0;26.0;36.4375;37.875;37.0625;253.1999969482422;15.583999633789062;508.6000061035156
25/10/2019;10:49;29.0;24.0;35.875;37.9375;37.0625;253.1999969482422;12.527999877929688;408.3999938964844
25/10/2019;10:50;28.0;25.0;35.875;37.5;36.75;253.1999969482422;9.239999771118164;300.8999938964844
25/10/2019;10:51;28.0;25.0;35.625;37.1875;36.625;253.1999969482422;7.9679999351501465;259.1000061035156
25/10/2019;10:53;27.0;25.0;35.5625;36.5;35.5;253.1999969482422;17.70400047302246;577.7000122070312
25/10/2019;10:54;28.0;30.0;36.3125;37.5625;36.8125;253.1999969482422;16.972000122070312;554.5999755859375
25/10/2019;10:55;29.0;24.0;38.375;39.6875;38.8125;253.1999969482422;17.07200050354004;558.0999755859375
25/10/2019;10:56;30.0;25.0;39.6875;41.5625;40.5;253.1999969482422;10.456000328063965;341.20001220703125
25/10/2019;10:58;30.0;25.0;40.75;42.625;41.375;253.1999969482422;15.96399974822998;521.9000244140625
25/10/2019;10:59;30.0;24.0;41.5;43.25;42.0625;253.1999969482422;13.595999717712402;444.8999938964844
