Dia;Hora;Temp Amb [ºC];Umidade [%];T1 [ºC];T2 [ºC];T3 [ºC];Isc [mA];Tensão [V];Corrente [mA]
02/11/2019;20:00;1.0;89.0;23.5625;23.5;23.625;-0.20000000298023224;0.012000000104308128;-0.30000001192092896
02/11/2019;20:01;1.0;91.0;23.625;23.5;23.625;-0.20000000298023224;0.00800000037997961;-0.20000000298023224
02/11/2019;20:03;1.0;91.0;23.625;23.5625;23.625;-0.10000000149011612;0.00800000037997961;-0.4000000059604645
02/11/2019;20:04;1.0;91.0;23.6875;23.5625;23.5625;-0.10000000149011612;0.00800000037997961;-0.10000000149011612
02/11/2019;20:06;1.0;89.0;23.75;23.625;23.625;-0.10000000149011612;0.00800000037997961;0.0
02/11/2019;20:07;1.0;89.0;23.6875;23.625;23.625;-0.10000000149011612;0.012000000104308128;-0.10000000149011612
02/11/2019;20:08;1.0;90.0;23.6875;23.5625;23.625;-0.10000000149011612;0.012000000104308128;-0.20000000298023224
02/11/2019;20:09;37.0;73.0;23.6875;23.625;23.6875;-0.10000000149011612;0.012000000104308128;-0.4000000059604645
02/11/2019;20:10;1.0;91.0;23.6875;23.5625;23.6875;-0.10000000149011612;0.012000000104308128;-0.10000000149011612
02/11/2019;20:12;1.0;90.0;23.5625;23.5;23.625;-0.10000000149011612;0.00800000037997961;-0.10000000149011612
02/11/2019;20:13;1.0;90.0;23.625;23.5;23.625;-0.10000000149011612;0.00800000037997961;-0.20000000298023224
02/11/2019;20:14;1.0;90.0;23.625;23.5;23.5625;-0.10000000149011612;0.00800000037997961;-0.20000000298023224
02/11/2019;20:15;1.0;90.0;23.625;23.5;23.625;-0.10000000149011612;0.012000000104308128;0.0
02/11/2019;20:16;1.0;91.0;23.625;23.5;23.625;-0.10000000149011612;0.012000000104308128;0.0
02/11/2019;20:18;1.0;91.0;23.625;23.5;23.625;-0.10000000149011612;0.00800000037997961;-0.10000000149011612
02/11/2019;20:19;1.0;91.0;23.625;23.5;23.625;-0.4000000059604645;0.012000000104308128;0.10000000149011612
02/11/2019;20:21;1.0;91.0;23.625;23.5;23.625;-0.4000000059604645;0.012000000104308128;0.0
02/11/2019;20:22;1.0;91.0;23.625;23.5625;23.8125;-0.4000000059604645;0.00800000037997961;0.0
02/11/2019;20:23;1.0;91.0;23.625;23.5625;23.8125;-0.4000000059604645;0.00800000037997961;0.0
02/11/2019;20:24;8.0;88.0;23.6875;23.6875;23.8125;-0.4000000059604645;0.00800000037997961;-0.30000001192092896
02/11/2019;20:25;1.0;91.0;23.6875;23.625;23.8125;-0.4000000059604645;0.012000000104308128;-0.10000000149011612
02/11/2019;20:27;1.0;91.0;23.6875;23.6875;23.8125;-0.4000000059604645;0.012000000104308128;-0.4000000059604645
02/11/2019;20:28;1.0;91.0;23.8125;23.75;23.8125;-0.4000000059604645;0.00800000037997961;-0.20000000298023224
02/11/2019;20:29;1.0;90.0;23.8125;23.75;23.8125;-0.4000000059604645;0.012000000104308128;0.0
02/11/2019;20:30;20.0;81.0;23.8125;23.6875;23.8125;-0.4000000059604645;0.012000000104308128;-0.20000000298023224
02/11/2019;20:32;1.0;90.0;23.8125;23.6875;23.8125;-0.4000000059604645;0.012000000104308128;-0.5
02/11/2019;20:33;1.0;89.0;23.8125;23.625;23.75;-0.4000000059604645;0.012000000104308128;-0.20000000298023224
