Dia;Hora;Temp Amb [ºC];Umidade [%];T1 [ºC];T2 [ºC];T3 [ºC];Isc [mA];Tensão [V];Corrente [mA]
26/10/2019;09:00;45.0;10.0;35.5;42.625;38.625;383.79998779296875;11.708000183105469;388.5
26/10/2019;09:01;45.0;10.0;36.5625;43.1875;39.9375;383.79998779296875;11.843999862670898;393.5
26/10/2019;09:02;45.0;10.0;37.0625;43.75;40.1875;383.79998779296875;11.899999618530273;395.1000061035156
26/10/2019;09:04;45.0;10.0;37.375;44.375;40.625;383.79998779296875;11.928000450134277;396.1000061035156
26/10/2019;09:05;45.0;10.0;37.6875;44.8125;41.125;417.70001220703125;12.0;398.6000061035156
26/10/2019;09:07;45.0;10.0;38.125;44.9375;41.3125;417.70001220703125;12.107999801635742;402.3999938964844
26/10/2019;09:08;45.0;10.0;38.5625;45.5;41.8125;417.70001220703125;12.204000473022461;406.29998779296875
26/10/2019;09:09;45.0;10.0;39.1875;45.5625;42.0;417.70001220703125;12.276000022888184;408.29998779296875
26/10/2019;09:10;46.0;10.0;39.375;45.9375;42.4375;417.70001220703125;12.315999984741211;409.70001220703125
26/10/2019;09:11;45.0;10.0;39.875;45.5;42.4375;417.70001220703125;12.404000282287598;413.20001220703125
26/10/2019;09:14;46.0;10.0;40.0625;46.3125;42.8125;417.70001220703125;12.491999626159668;416.1000061035156
26/10/2019;09:15;46.0;10.0;39.875;46.1875;42.5;417.70001220703125;12.579999923706055;419.0
26/10/2019;09:16;46.0;10.0;40.5625;46.375;43.0625;417.70001220703125;12.628000259399414;420.8999938964844
26/10/2019;09:17;46.0;10.0;40.75;46.5625;43.625;417.70001220703125;12.680000305175781;422.5
26/10/2019;09:19;46.0;10.0;40.75;46.4375;43.5;417.70001220703125;12.715999603271484;423.79998779296875
26/10/2019;09:20;46.0;10.0;40.8125;46.8125;43.375;449.6000061035156;12.836000442504883;427.79998779296875
26/10/2019;09:22;46.0;10.0;40.875;47.25;43.75;449.6000061035156;12.904000282287598;430.20001220703125
26/10/2019;09:23;46.0;10.0;41.6875;47.25;44.4375;449.6000061035156;12.97599983215332;432.8999938964844
26/10/2019;09:24;46.0;10.0;41.625;47.4375;44.375;449.6000061035156;13.020000457763672;434.1000061035156
26/10/2019;09:25;47.0;9.0;41.6875;48.125;44.6875;449.6000061035156;13.064000129699707;436.0
26/10/2019;09:27;48.0;9.0;41.6875;48.9375;44.875;449.6000061035156;13.192000389099121;440.6000061035156
26/10/2019;09:28;48.0;9.0;42.0;49.5;45.375;449.6000061035156;13.220000267028809;441.20001220703125
26/10/2019;09:29;48.0;9.0;41.9375;49.5;45.5;449.6000061035156;13.284000396728516;443.70001220703125
26/10/2019;09:30;48.0;9.0;42.625;49.625;46.125;449.6000061035156;13.331999778747559;445.20001220703125
26/10/2019;09:31;47.0;9.0;43.375;49.3125;46.625;449.6000061035156;13.416000366210938;447.8999938964844
26/10/2019;09:33;46.0;10.0;44.75;48.9375;47.3125;449.6000061035156;13.491999626159668;450.6000061035156
26/10/2019;09:34;46.0;10.0;44.875;49.4375;47.5625;449.6000061035156;13.539999961853027;452.5
26/10/2019;09:35;46.0;10.0;44.9375;49.625;47.4375;449.6000061035156;13.588000297546387;454.1000061035156
26/10/2019;09:37;48.0;9.0;45.0625;49.9375;47.75;478.6000061035156;13.63599967956543;455.8999938964844
26/10/2019;09:38;46.0;10.0;45.5;49.375;47.8125;478.6000061035156;13.720000267028809;458.5
26/10/2019;09:39;48.0;9.0;46.0;49.4375;48.1875;478.6000061035156;13.767999649047852;460.5
26/10/2019;09:40;48.0;9.0;45.0625;49.8125;47.5;478.6000061035156;13.82800006866455;462.3999938964844
26/10/2019;09:42;48.0;9.0;44.75;50.6875;47.8125;478.6000061035156;13.868000030517578;463.70001220703125
26/10/2019;09:43;48.0;9.0;45.25;50.625;48.4375;478.6000061035156;13.899999618530273;465.1000061035156
26/10/2019;09:44;45.0;10.0;45.4375;49.5;48.25;478.6000061035156;13.947999954223633;466.3999938964844
26/10/2019;09:45;46.0;10.0;45.9375;49.375;48.4375;478.6000061035156;14.008000373840332;468.20001220703125
26/10/2019;09:46;47.0;9.0;46.25;50.1875;48.75;478.6000061035156;14.043999671936035;469.5
26/10/2019;09:48;46.0;10.0;45.8125;49.4375;48.375;478.6000061035156;14.092000007629395;470.8999938964844
26/10/2019;09:49;45.0;10.0;46.125;48.4375;48.3125;478.6000061035156;14.119999885559082;471.6000061035156
26/10/2019;09:50;41.0;12.0;47.0;47.125;47.5625;478.6000061035156;14.14799976348877;472.79998779296875
26/10/2019;09:52;45.0;10.0;46.875;47.625;47.9375;504.5;14.204000473022461;474.8999938964844
26/10/2019;09:53;45.0;10.0;45.9375;48.4375;47.4375;504.5;14.187999725341797;474.1000061035156
26/10/2019;09:54;45.0;10.0;46.8125;49.25;48.875;504.5;14.211999893188477;475.1000061035156
26/10/2019;09:55;45.0;10.0;47.5625;48.75;49.1875;504.5;14.223999977111816;475.29998779296875
26/10/2019;09:57;43.0;11.0;48.3125;48.0625;49.0625;504.5;14.248000144958496;476.20001220703125
26/10/2019;09:58;45.0;10.0;48.5;49.0625;49.6875;504.5;14.307999610900879;478.1000061035156
26/10/2019;09:59;45.0;10.0;48.0625;49.125;49.6875;504.5;14.331999778747559;479.29998779296875
