Dia;Hora;Temp Amb [ºC];Umidade [%];T1 [ºC];T2 [ºC];T3 [ºC];Isc [mA];Tensão [V];Corrente [mA]
03/11/2019;16:00;27.0;19.0;28.625;30.125;28.0625;137.5;3.427999973297119;110.19999694824219
03/11/2019;16:02;27.0;19.0;28.5625;30.0625;27.875;137.5;3.0480000972747803;97.9000015258789
03/11/2019;16:03;27.0;19.0;28.4375;29.875;27.75;137.5;3.059999942779541;98.5
03/11/2019;16:04;27.0;19.0;28.0625;29.625;27.9375;137.5;4.136000156402588;133.60000610351562
03/11/2019;16:05;27.0;19.0;27.875;29.5625;27.9375;137.5;4.28000020980835;137.8000030517578
03/11/2019;16:07;27.0;19.0;27.6875;29.375;27.9375;137.5;4.320000171661377;139.1999969482422
03/11/2019;16:08;27.0;19.0;27.625;29.3125;28.0625;140.6999969482422;4.340000152587891;139.89999389648438
03/11/2019;16:10;27.0;19.0;27.875;29.375;28.1875;140.6999969482422;4.372000217437744;141.10000610351562
03/11/2019;16:11;27.0;19.0;28.0625;29.6875;28.25;140.6999969482422;4.4079999923706055;142.0
03/11/2019;16:12;28.0;19.0;27.875;29.6875;28.375;140.6999969482422;4.4039998054504395;141.60000610351562
03/11/2019;16:13;28.0;19.0;28.0625;29.75;28.5;140.6999969482422;4.363999843597412;140.3000030517578
03/11/2019;16:14;27.0;19.0;28.1875;29.875;28.5625;140.6999969482422;4.288000106811523;138.39999389648438
03/11/2019;16:16;27.0;19.0;28.3125;29.9375;28.5;140.6999969482422;4.211999893188477;135.8000030517578
03/11/2019;16:17;26.0;20.0;28.5;29.9375;28.3125;140.6999969482422;4.076000213623047;131.6999969482422
03/11/2019;16:18;27.0;19.0;28.5;30.0;28.3125;140.6999969482422;4.007999897003174;129.1999969482422
03/11/2019;16:19;27.0;19.0;28.4375;30.0;28.1875;140.6999969482422;3.9200000762939453;126.5999984741211
03/11/2019;16:20;27.0;19.0;28.4375;29.9375;28.0625;140.6999969482422;3.828000068664551;123.4000015258789
03/11/2019;16:22;27.0;19.0;28.3125;29.9375;28.0625;140.6999969482422;3.7239999771118164;119.9000015258789
03/11/2019;16:23;27.0;19.0;28.25;29.8125;27.8125;113.0;3.5239999294281006;113.5
03/11/2019;16:25;26.0;20.0;28.125;29.625;27.6875;113.0;3.447999954223633;111.0999984741211
03/11/2019;16:26;25.0;20.0;28.0;29.3125;27.5625;113.0;3.4519999027252197;111.19999694824219
03/11/2019;16:27;26.0;20.0;27.875;29.3125;27.6875;113.0;3.4560000896453857;111.19999694824219
03/11/2019;16:28;26.0;20.0;27.875;29.25;27.5625;113.0;3.436000108718872;110.4000015258789
03/11/2019;16:29;25.0;20.0;27.8125;29.125;27.4375;113.0;3.2880001068115234;105.80000305175781
03/11/2019;16:31;26.0;20.0;27.8125;29.125;27.3125;113.0;3.2200000286102295;103.69999694824219
03/11/2019;16:32;26.0;20.0;27.75;29.0625;27.3125;113.0;3.140000104904175;100.9000015258789
03/11/2019;16:33;26.0;20.0;27.625;29.0;27.1875;113.0;3.0320000648498535;97.69999694824219
03/11/2019;16:34;26.0;20.0;27.5625;29.0;27.3125;113.0;2.927999973297119;94.0
03/11/2019;16:36;26.0;20.0;27.4375;28.875;27.375;113.0;3.01200008392334;97.0
03/11/2019;16:37;26.0;20.0;27.4375;28.8125;27.4375;113.0;3.140000104904175;100.5999984741211
03/11/2019;16:38;26.0;20.0;27.375;28.8125;27.4375;113.0;3.180000066757202;102.19999694824219
03/11/2019;16:40;26.0;20.0;27.25;28.6875;27.3125;102.5999984741211;3.184000015258789;102.30000305175781
03/11/2019;16:41;26.0;20.0;27.1875;28.5;27.25;102.5999984741211;3.25600004196167;104.69999694824219
03/11/2019;16:42;26.0;20.0;27.25;28.4375;27.0;102.5999984741211;3.3440001010894775;107.69999694824219
03/11/2019;16:43;26.0;20.0;27.25;28.4375;26.9375;102.5999984741211;3.2880001068115234;105.9000015258789
03/11/2019;16:44;26.0;20.0;27.25;28.5;26.875;102.5999984741211;3.0880000591278076;99.0
03/11/2019;16:46;26.0;20.0;27.1875;28.5;27.0;102.5999984741211;2.828000068664551;90.80000305175781
03/11/2019;16:47;26.0;20.0;27.1875;28.5;27.0;102.5999984741211;2.7119998931884766;87.0
03/11/2019;16:48;26.0;20.0;27.125;28.3125;26.6875;102.5999984741211;2.9240000247955322;93.9000015258789
03/11/2019;16:49;26.0;20.0;26.8125;28.0625;26.5;102.5999984741211;3.0840001106262207;99.0
03/11/2019;16:51;26.0;20.0;26.875;27.9375;26.4375;102.5999984741211;3.140000104904175;101.0
03/11/2019;16:52;26.0;20.0;26.75;27.9375;26.5625;102.5999984741211;3.007999897003174;96.4000015258789
03/11/2019;16:53;26.0;20.0;26.75;28.0;26.6875;102.5999984741211;2.700000047683716;86.5
03/11/2019;16:55;26.0;20.0;26.8125;27.875;26.5625;79.5;2.440000057220459;78.19999694824219
03/11/2019;16:56;26.0;20.0;26.625;27.875;26.625;79.5;2.5360000133514404;81.4000015258789
03/11/2019;16:57;25.0;20.0;26.5625;27.75;26.4375;79.5;2.4600000381469727;78.80000305175781
03/11/2019;16:58;25.0;20.0;26.3125;27.5;26.3125;79.5;2.2039999961853027;70.69999694824219
