Dia;Hora;Temp Amb [ºC];Umidade [%];T1 [ºC];T2 [ºC];T3 [ºC];Isc [mA];Tensão [V];Corrente [mA]
02/11/2019;12:00;37.0;14.0;45.5625;47.9375;46.5625;552.7000122070312;15.232000350952148;501.1000061035156
02/11/2019;12:01;37.0;14.0;45.8125;48.5;46.9375;552.7000122070312;14.763999938964844;485.8999938964844
02/11/2019;12:02;38.0;14.0;46.0625;48.875;47.5;552.7000122070312;14.887999534606934;489.8999938964844
02/11/2019;12:04;37.0;14.0;46.75;48.875;47.1875;552.7000122070312;14.935999870300293;491.3999938964844
02/11/2019;12:05;37.0;14.0;47.0;48.75;47.0;552.7000122070312;15.168000221252441;499.3999938964844
02/11/2019;12:06;38.0;14.0;46.0;48.9375;47.4375;552.7000122070312;13.652000427246094;449.29998779296875
02/11/2019;12:07;38.0;14.0;46.375;48.9375;47.625;552.7000122070312;12.0600004196167;396.70001220703125
02/11/2019;12:09;36.0;15.0;45.0625;47.625;46.4375;552.7000122070312;12.97599983215332;426.8999938964844
02/11/2019;12:10;36.0;15.0;44.6875;46.1875;45.3125;552.7000122070312;14.604000091552734;480.5
02/11/2019;12:11;37.0;14.0;44.8125;46.6875;45.3125;552.7000122070312;15.680000305175781;516.0
02/11/2019;12:13;37.0;14.0;45.625;47.375;45.375;518.5999755859375;15.543999671936035;511.8999938964844
02/11/2019;12:14;37.0;14.0;45.625;47.75;46.4375;518.5999755859375;15.564000129699707;512.2000122070312
02/11/2019;12:15;36.0;15.0;46.5;48.125;45.6875;518.5999755859375;15.416000366210938;507.3999938964844
02/11/2019;12:16;37.0;14.0;45.5;47.9375;46.1875;518.5999755859375;13.484000205993652;443.6000061035156
02/11/2019;12:18;36.0;15.0;45.5625;46.9375;45.0625;518.5999755859375;14.267999649047852;469.20001220703125
02/11/2019;12:19;36.0;15.0;43.6875;46.1875;45.25;518.5999755859375;15.711999893188477;516.9000244140625
02/11/2019;12:20;36.0;15.0;43.75;46.0;45.1875;518.5999755859375;15.432000160217285;507.29998779296875
02/11/2019;12:21;35.0;15.0;44.125;45.4375;44.5625;518.5999755859375;15.64799976348877;514.2999877929688
02/11/2019;12:22;35.0;15.0;43.5625;45.6875;45.1875;518.5999755859375;15.031999588012695;494.20001220703125
02/11/2019;12:24;36.0;15.0;44.0;46.0;45.4375;518.5999755859375;14.604000091552734;480.20001220703125
02/11/2019;12:25;35.0;15.0;44.75;45.5625;44.5625;518.5999755859375;14.847999572753906;488.1000061035156
02/11/2019;12:26;36.0;15.0;44.5;46.125;45.25;518.5999755859375;15.555999755859375;511.3999938964844
02/11/2019;12:27;36.0;15.0;44.625;46.5625;45.5625;518.5999755859375;10.904000282287598;357.8999938964844
02/11/2019;12:29;36.0;15.0;44.0625;46.1875;45.5;483.29998779296875;10.248000144958496;336.29998779296875
02/11/2019;12:30;37.0;14.0;43.6875;46.1875;45.5;483.29998779296875;14.815999984741211;486.70001220703125
02/11/2019;12:31;38.0;14.0;44.0625;46.8125;45.375;483.29998779296875;12.503999710083008;410.5
02/11/2019;12:33;38.0;14.0;43.875;46.9375;45.625;483.29998779296875;10.128000259399414;332.29998779296875
02/11/2019;12:34;38.0;14.0;43.25;46.375;45.3125;483.29998779296875;15.628000259399414;513.5999755859375
02/11/2019;12:35;37.0;14.0;43.625;46.0;44.8125;483.29998779296875;13.904000282287598;456.6000061035156
02/11/2019;12:36;36.0;15.0;43.9375;44.875;42.875;483.29998779296875;14.960000038146973;491.29998779296875
02/11/2019;12:38;36.0;15.0;43.625;45.3125;43.5;483.29998779296875;9.52400016784668;312.20001220703125
02/11/2019;12:39;37.0;14.0;43.4375;45.5625;43.9375;483.29998779296875;10.276000022888184;336.79998779296875
02/11/2019;12:40;37.0;14.0;43.375;45.6875;43.875;483.29998779296875;13.98799991607666;459.1000061035156
02/11/2019;12:41;37.0;14.0;43.625;45.625;43.625;483.29998779296875;15.944000244140625;523.7999877929688
02/11/2019;12:42;38.0;14.0;44.25;45.9375;44.0;483.29998779296875;8.904000282287598;292.1000061035156
02/11/2019;12:44;38.0;14.0;44.1875;46.375;44.625;412.5;9.32800006866455;305.8999938964844
02/11/2019;12:45;38.0;14.0;44.0625;46.4375;44.3125;412.5;9.527999877929688;312.6000061035156
02/11/2019;12:46;39.0;13.0;43.625;46.5625;44.1875;412.5;16.43199920654297;540.0999755859375
02/11/2019;12:48;39.0;13.0;43.5625;46.4375;44.3125;412.5;16.54800033569336;544.0999755859375
02/11/2019;12:49;39.0;13.0;44.25;47.3125;45.25;412.5;8.932000160217285;293.0
02/11/2019;12:50;38.0;14.0;44.4375;46.9375;45.0;412.5;8.819999694824219;289.29998779296875
02/11/2019;12:51;37.0;14.0;43.875;46.0;44.25;412.5;9.34000015258789;306.29998779296875
02/11/2019;12:53;37.0;14.0;43.3125;45.1875;43.625;412.5;11.307999610900879;370.8999938964844
02/11/2019;12:54;37.0;14.0;43.375;45.125;43.75;412.5;10.696000099182129;350.8999938964844
02/11/2019;12:55;38.0;14.0;43.0;45.75;44.4375;412.5;15.484000205993652;509.0
02/11/2019;12:56;38.0;14.0;44.5625;46.625;45.0;412.5;15.027999877929688;494.0
02/11/2019;12:57;38.0;14.0;44.1875;47.1875;46.0;412.5;15.460000038146973;508.6000061035156
02/11/2019;12:59;39.0;13.0;43.8125;47.375;46.4375;412.5;11.883999824523926;390.5
