Dia;Hora;Temp Amb [ºC];Umidade [%];T1 [ºC];T2 [ºC];T3 [ºC];Isc [mA];Tensão [V];Corrente [mA]
31/10/2019;23:00;1.0;77.0;18.75;18.75;18.8125;0.10000000149011612;0.00800000037997961;-0.30000001192092896
31/10/2019;23:01;1.0;77.0;18.6875;18.75;18.8125;0.10000000149011612;0.00800000037997961;-0.20000000298023224
31/10/2019;23:03;1.0;77.0;18.6875;18.75;18.75;-0.30000001192092896;0.00800000037997961;-0.30000001192092896
31/10/2019;23:04;1.0;77.0;18.75;18.75;18.8125;-0.30000001192092896;0.00800000037997961;-0.20000000298023224
31/10/2019;23:05;1.0;76.0;18.75;18.8125;18.875;-0.30000001192092896;0.012000000104308128;-0.20000000298023224
31/10/2019;23:07;1.0;76.0;18.8125;18.875;18.9375;-0.30000001192092896;0.012000000104308128;-0.10000000149011612
31/10/2019;23:08;1.0;76.0;18.875;18.875;18.9375;-0.30000001192092896;0.012000000104308128;-0.10000000149011612
31/10/2019;23:09;1.0;76.0;18.875;18.875;18.9375;-0.30000001192092896;0.00800000037997961;-0.4000000059604645
31/10/2019;23:10;1.0;77.0;18.875;18.875;18.9375;-0.30000001192092896;0.012000000104308128;-0.20000000298023224
31/10/2019;23:12;1.0;77.0;18.875;18.8125;18.875;-0.30000001192092896;0.012000000104308128;-0.30000001192092896
31/10/2019;23:13;1.0;76.0;18.8125;18.8125;18.875;-0.30000001192092896;0.012000000104308128;-0.30000001192092896
31/10/2019;23:14;1.0;77.0;18.8125;18.8125;18.875;-0.30000001192092896;0.00800000037997961;0.10000000149011612
31/10/2019;23:15;1.0;76.0;18.8125;18.8125;18.875;-0.30000001192092896;0.00800000037997961;-0.4000000059604645
31/10/2019;23:16;1.0;76.0;18.8125;18.8125;18.875;-0.30000001192092896;0.00800000037997961;-0.699999988079071
31/10/2019;23:18;1.0;76.0;18.75;18.8125;18.8125;-0.5;0.012000000104308128;-0.20000000298023224
31/10/2019;23:19;35.0;59.0;18.6875;18.75;18.8125;-0.5;0.00800000037997961;-0.30000001192092896
31/10/2019;23:20;1.0;76.0;18.75;18.75;18.8125;-0.5;0.012000000104308128;0.0
31/10/2019;23:22;1.0;76.0;18.6875;18.75;18.8125;-0.5;0.00800000037997961;-0.30000001192092896
31/10/2019;23:23;1.0;76.0;18.6875;18.75;18.8125;-0.5;0.00800000037997961;-0.20000000298023224
31/10/2019;23:24;1.0;76.0;18.6875;18.6875;18.75;-0.5;0.00800000037997961;-0.4000000059604645
31/10/2019;23:25;1.0;76.0;18.6875;18.6875;18.75;-0.5;0.012000000104308128;-0.4000000059604645
31/10/2019;23:27;1.0;76.0;18.625;18.6875;18.6875;-0.5;0.012000000104308128;0.0
31/10/2019;23:28;1.0;76.0;18.625;18.6875;18.6875;-0.5;0.012000000104308128;-0.4000000059604645
31/10/2019;23:29;1.0;76.0;18.6875;18.75;18.75;-0.5;0.00800000037997961;-0.10000000149011612
31/10/2019;23:30;1.0;80.0;18.625;18.6875;18.6875;-0.5;0.012000000104308128;-0.10000000149011612
31/10/2019;23:31;1.0;80.0;18.625;18.6875;18.6875;-0.5;0.00800000037997961;-0.10000000149011612
31/10/2019;23:33;1.0;79.0;18.6875;18.75;18.75;-0.5;0.012000000104308128;-0.20000000298023224
31/10/2019;23:34;1.0;79.0;18.6875;18.6875;18.75;-0.10000000149011612;0.00800000037997961;-0.5
31/10/2019;23:36;1.0;78.0;18.6875;18.6875;18.8125;-0.10000000149011612;0.00800000037997961;-0.30000001192092896
31/10/2019;23:37;1.0;78.0;18.6875;18.75;18.75;-0.10000000149011612;0.00800000037997961;-0.4000000059604645
31/10/2019;23:38;1.0;80.0;18.6875;18.75;18.75;-0.10000000149011612;0.012000000104308128;-0.4000000059604645
31/10/2019;23:39;1.0;77.0;18.6875;18.75;18.8125;-0.10000000149011612;0.00800000037997961;-0.10000000149011612
31/10/2019;23:40;1.0;77.0;18.6875;18.75;18.6875;-0.10000000149011612;0.00800000037997961;-0.20000000298023224
31/10/2019;23:43;1.0;76.0;18.75;18.8125;18.75;-0.10000000149011612;0.012000000104308128;-0.10000000149011612
31/10/2019;23:44;1.0;76.0;18.75;18.8125;18.8125;-0.10000000149011612;0.012000000104308128;-0.20000000298023224
31/10/2019;23:45;1.0;76.0;18.75;18.8125;18.75;-0.10000000149011612;0.00800000037997961;-0.30000001192092896
31/10/2019;23:46;1.0;76.0;18.75;18.8125;18.75;-0.10000000149011612;0.00800000037997961;-0.10000000149011612
31/10/2019;23:48;1.0;76.0;18.6875;18.8125;18.75;-0.10000000149011612;0.00800000037997961;-0.20000000298023224
31/10/2019;23:49;4.0;74.0;18.75;18.8125;18.8125;-0.30000001192092896;0.00800000037997961;-0.20000000298023224
31/10/2019;23:51;1.0;74.0;18.75;18.8125;18.8125;-0.30000001192092896;0.012000000104308128;-0.4000000059604645
31/10/2019;23:52;18.0;66.0;18.6875;18.75;18.75;-0.30000001192092896;0.012000000104308128;-0.30000001192092896
31/10/2019;23:53;1.0;75.0;18.6875;18.75;18.75;-0.30000001192092896;0.00800000037997961;-0.30000001192092896
31/10/2019;23:54;1.0;74.0;18.75;18.8125;18.8125;-0.30000001192092896;0.012000000104308128;0.0
31/10/2019;23:56;1.0;74.0;18.75;18.875;18.875;-0.30000001192092896;0.00800000037997961;-0.30000001192092896
31/10/2019;23:57;1.0;74.0;18.75;18.875;18.8125;-0.30000001192092896;0.012000000104308128;-0.5
31/10/2019;23:58;1.0;74.0;18.75;18.875;18.8125;-0.30000001192092896;0.012000000104308128;-0.4000000059604645
31/10/2019;23:59;1.0;74.0;18.8125;18.875;18.875;-0.30000001192092896;0.012000000104308128;-0.30000001192092896
