Dia;Hora;Temp Amb [ºC];Umidade [%];T1 [ºC];T2 [ºC];T3 [ºC];Isc [mA];Tensão [V];Corrente [mA]
24/10/2019;14:00;41.0;12.0;55.0625;53.625;52.1875;329.1000061035156;7.820000171661377;260.5
24/10/2019;14:01;41.0;12.0;54.0625;52.5;50.5625;329.1000061035156;7.783999919891357;259.29998779296875
24/10/2019;14:02;41.0;12.0;55.125;52.1875;50.875;329.1000061035156;7.771999835968018;259.1000061035156
24/10/2019;14:03;42.0;12.0;55.5;52.5625;51.4375;329.1000061035156;7.788000106811523;260.1000061035156
24/10/2019;14:04;42.0;12.0;55.9375;53.3125;52.5625;329.1000061035156;7.788000106811523;259.6000061035156
24/10/2019;14:06;42.0;12.0;55.75;52.5;51.375;329.1000061035156;7.751999855041504;258.3999938964844
24/10/2019;14:07;41.0;12.0;55.9375;51.25;49.6875;329.1000061035156;7.748000144958496;258.20001220703125
24/10/2019;14:08;41.0;12.0;54.875;51.0;49.5;329.1000061035156;7.728000164031982;257.6000061035156
24/10/2019;14:10;42.0;12.0;54.5625;51.5625;50.0625;325.1000061035156;7.748000144958496;258.29998779296875
24/10/2019;14:11;41.0;12.0;55.625;51.25;49.8125;325.1000061035156;7.728000164031982;257.3999938964844
24/10/2019;14:12;42.0;12.0;55.25;52.375;51.8125;325.1000061035156;7.6519999504089355;255.0
24/10/2019;14:13;42.0;12.0;54.4375;52.625;51.1875;325.1000061035156;7.567999839782715;252.10000610351562
24/10/2019;14:15;42.0;12.0;55.5625;52.4375;50.875;325.1000061035156;7.535999774932861;251.5
24/10/2019;14:16;42.0;12.0;56.3125;52.8125;52.125;325.1000061035156;7.552000045776367;251.5
24/10/2019;14:17;42.0;12.0;55.5625;52.6875;52.375;325.1000061035156;7.567999839782715;252.10000610351562
24/10/2019;14:18;42.0;12.0;55.5625;52.9375;53.0;325.1000061035156;7.515999794006348;250.60000610351562
24/10/2019;14:19;41.0;12.0;55.375;51.875;50.6875;325.1000061035156;7.515999794006348;250.5
24/10/2019;14:21;41.0;12.0;55.75;51.6875;51.3125;325.1000061035156;7.556000232696533;251.6999969482422
24/10/2019;14:22;41.0;12.0;52.9375;52.0;50.6875;325.1000061035156;7.547999858856201;251.5
24/10/2019;14:23;42.0;12.0;54.8125;52.375;51.625;325.1000061035156;7.539999961853027;251.1999969482422
24/10/2019;14:25;42.0;12.0;52.4375;52.625;50.9375;315.6000061035156;7.447999954223633;248.3000030517578
24/10/2019;14:26;42.0;12.0;53.1875;51.5625;49.1875;315.6000061035156;7.515999794006348;250.39999389648438
24/10/2019;14:27;42.0;12.0;53.0;52.1875;50.5;315.6000061035156;7.443999767303467;248.5
24/10/2019;14:28;42.0;12.0;49.375;52.0625;48.625;315.6000061035156;7.427999973297119;247.5
24/10/2019;14:30;43.0;11.0;48.5;52.375;48.6875;315.6000061035156;7.415999889373779;247.1999969482422
24/10/2019;14:31;42.0;12.0;49.5;52.5;49.125;315.6000061035156;7.4039998054504395;246.8000030517578
24/10/2019;14:32;42.0;12.0;49.5;51.4375;47.9375;315.6000061035156;7.363999843597412;245.60000610351562
24/10/2019;14:33;39.0;13.0;49.9375;50.0;47.4375;315.6000061035156;7.308000087738037;243.60000610351562
24/10/2019;14:34;37.0;14.0;49.5625;48.0;46.1875;315.6000061035156;7.291999816894531;243.0
24/10/2019;14:36;39.0;13.0;48.375;48.8125;46.5625;315.6000061035156;7.308000087738037;243.3000030517578
24/10/2019;14:37;38.0;14.0;49.6875;48.25;46.1875;315.6000061035156;7.271999835968018;242.10000610351562
24/10/2019;14:38;40.0;13.0;48.125;48.875;46.8125;315.6000061035156;7.228000164031982;240.5
24/10/2019;14:39;39.0;13.0;48.0;48.6875;46.625;315.6000061035156;7.199999809265137;239.6999969482422
24/10/2019;14:41;40.0;13.0;48.875;49.125;46.5625;307.0;7.184000015258789;239.3000030517578
24/10/2019;14:42;41.0;12.0;50.5;49.375;47.3125;307.0;7.211999893188477;239.8000030517578
24/10/2019;14:44;41.0;12.0;50.75;50.0625;48.0625;307.0;7.179999828338623;239.0
24/10/2019;14:45;41.0;12.0;52.0625;50.0;48.3125;307.0;7.159999847412109;238.5
24/10/2019;14:46;42.0;12.0;51.375;50.5;48.6875;307.0;7.107999801635742;236.8000030517578
24/10/2019;14:47;41.0;12.0;52.375;50.4375;49.125;307.0;7.0960001945495605;236.0
24/10/2019;14:48;41.0;12.0;51.5;50.125;48.6875;307.0;7.059999942779541;235.10000610351562
24/10/2019;14:50;40.0;13.0;51.0;48.8125;47.0625;307.0;7.01200008392334;233.5
24/10/2019;14:51;40.0;13.0;51.0625;49.125;47.625;307.0;6.984000205993652;232.6999969482422
24/10/2019;14:52;41.0;12.0;52.25;49.25;48.4375;307.0;6.97599983215332;232.39999389648438
24/10/2019;14:53;40.0;13.0;52.6875;49.0;48.0625;307.0;6.9720001220703125;231.89999389648438
24/10/2019;14:54;41.0;12.0;49.4375;49.375;47.1875;307.0;6.964000225067139;231.6999969482422
24/10/2019;14:56;41.0;12.0;53.0;50.125;49.5625;294.1000061035156;6.9039998054504395;229.89999389648438
24/10/2019;14:57;41.0;12.0;52.4375;49.9375;48.625;294.1000061035156;6.927999973297119;230.6999969482422
24/10/2019;14:59;41.0;12.0;53.0625;49.5;48.6875;294.1000061035156;6.892000198364258;229.5
