Dia;Hora;Temp Amb [ºC];Umidade [%];T1 [ºC];T2 [ºC];T3 [ºC];Isc [mA];Tensão [V];Corrente [mA]
02/11/2019;10:00;50.70000076293945;19.0;47.375;54.1875;51.0;461.0;13.263999938964844;444.8999938964844
02/11/2019;10:01;51.099998474121094;19.0;48.1875;54.6875;51.3125;461.0;13.312000274658203;446.8999938964844
02/11/2019;10:03;51.5;19.0;47.5625;55.4375;51.125;461.0;13.407999992370605;450.29998779296875
02/11/2019;10:04;51.70000076293945;19.0;48.125;55.6875;52.0;461.0;13.684000015258789;459.8999938964844
02/11/2019;10:05;51.20000076293945;19.0;49.25;56.0625;53.0;461.0;13.51200008392334;453.8999938964844
02/11/2019;10:07;51.5;19.0;49.75;56.4375;53.0625;492.0;13.631999969482422;458.0
02/11/2019;10:08;51.400001525878906;19.0;48.9375;55.5;52.0;492.0;13.744000434875488;462.0
02/11/2019;10:09;52.5;20.0;48.6875;56.0625;52.0;492.0;13.472000122070312;452.79998779296875
02/11/2019;10:10;52.0;20.0;48.375;56.3125;51.5;492.0;13.088000297546387;440.6000061035156
02/11/2019;10:12;51.5;19.0;49.5;55.8125;52.375;492.0;13.055999755859375;438.79998779296875
02/11/2019;10:13;51.70000076293945;19.0;49.4375;56.25;52.6875;492.0;12.319999694824219;414.0
02/11/2019;10:14;51.79999923706055;19.0;48.9375;56.25;52.1875;492.0;12.300000190734863;413.79998779296875
02/11/2019;10:15;52.29999923706055;20.0;48.4375;55.8125;51.75;492.0;13.095999717712402;440.1000061035156
02/11/2019;10:16;52.70000076293945;20.0;48.6875;56.3125;52.3125;492.0;13.180000305175781;443.1000061035156
02/11/2019;10:18;52.70000076293945;20.0;49.3125;56.625;52.8125;492.0;13.420000076293945;451.29998779296875
02/11/2019;10:19;52.900001525878906;20.0;49.0625;56.6875;52.3125;492.0;13.383999824523926;450.29998779296875
02/11/2019;10:20;51.79999923706055;19.0;48.375;56.0625;51.6875;492.0;13.479999542236328;453.6000061035156
02/11/2019;10:22;50.900001525878906;19.0;47.3125;55.0;50.3125;484.20001220703125;13.63599967956543;458.70001220703125
02/11/2019;10:23;51.70000076293945;19.0;47.5625;54.625;50.8125;484.20001220703125;13.520000457763672;454.5
02/11/2019;10:24;50.5;19.0;45.9375;52.9375;48.8125;484.20001220703125;13.180000305175781;443.3999938964844
02/11/2019;10:26;49.79999923706055;19.0;46.3125;53.0625;49.0625;484.20001220703125;12.579999923706055;422.70001220703125
02/11/2019;10:27;48.79999923706055;18.0;44.875;52.0625;47.1875;484.20001220703125;11.423999786376953;383.6000061035156
02/11/2019;10:28;48.5;18.0;44.5;51.4375;47.4375;484.20001220703125;9.5600004196167;320.5
02/11/2019;10:29;48.20000076293945;18.0;43.125;50.375;46.1875;484.20001220703125;9.267999649047852;310.29998779296875
02/11/2019;10:30;47.400001525878906;17.0;42.25;48.9375;45.0625;484.20001220703125;9.732000350952148;325.79998779296875
02/11/2019;10:32;46.400001525878906;16.0;41.5;48.0625;43.9375;484.20001220703125;10.420000076293945;348.70001220703125
02/11/2019;10:33;45.5;16.0;40.4375;47.375;42.8125;484.20001220703125;10.843999862670898;362.70001220703125
02/11/2019;10:34;45.900001525878906;16.0;41.4375;47.3125;43.9375;484.20001220703125;10.968000411987305;366.70001220703125
02/11/2019;10:35;44.900001525878906;16.0;40.75;46.5625;42.9375;484.20001220703125;11.508000373840332;384.70001220703125
02/11/2019;10:36;45.5;16.0;41.3125;46.75;43.6875;484.20001220703125;11.015999794006348;368.3999938964844
02/11/2019;10:38;46.20000076293945;16.0;41.875;47.125;44.125;414.1000061035156;10.859999656677246;362.8999938964844
02/11/2019;10:39;46.0;16.0;42.125;47.5625;44.5625;414.1000061035156;11.704000473022461;391.29998779296875
02/11/2019;10:41;47.0;17.0;43.5625;49.25;46.3125;414.1000061035156;12.947999954223633;433.1000061035156
02/11/2019;10:42;47.0;17.0;44.125;49.875;46.375;414.1000061035156;13.211999893188477;442.1000061035156
02/11/2019;10:43;47.400001525878906;17.0;45.4375;50.4375;47.5;414.1000061035156;13.116000175476074;438.79998779296875
02/11/2019;10:44;48.29999923706055;18.0;46.25;51.4375;48.4375;414.1000061035156;13.01200008392334;435.70001220703125
02/11/2019;10:45;48.900001525878906;18.0;46.875;51.375;49.0;414.1000061035156;12.968000411987305;434.6000061035156
02/11/2019;10:47;50.70000076293945;19.0;48.0625;53.125;50.625;414.1000061035156;12.272000312805176;411.1000061035156
02/11/2019;10:48;50.70000076293945;19.0;48.75;52.8125;50.75;414.1000061035156;12.447999954223633;417.29998779296875
02/11/2019;10:49;50.70000076293945;19.0;48.1875;53.125;50.3125;414.1000061035156;12.343999862670898;413.8999938964844
02/11/2019;10:50;50.29999923706055;19.0;46.9375;51.875;49.0;414.1000061035156;12.35200023651123;414.3999938964844
02/11/2019;10:52;50.900001525878906;19.0;47.25;52.625;49.75;414.1000061035156;12.723999977111816;426.70001220703125
02/11/2019;10:53;50.29999923706055;19.0;46.4375;52.4375;49.0625;453.0;12.116000175476074;406.29998779296875
02/11/2019;10:54;49.70000076293945;19.0;46.75;52.6875;49.4375;453.0;13.291999816894531;446.1000061035156
02/11/2019;10:56;49.400001525878906;19.0;46.125;52.125;48.6875;453.0;13.972000122070312;468.70001220703125
02/11/2019;10:57;49.400001525878906;19.0;46.375;52.1875;48.625;453.0;13.496000289916992;452.70001220703125
02/11/2019;10:58;49.29999923706055;19.0;45.8125;52.4375;48.25;453.0;13.847999572753906;464.3999938964844
02/11/2019;10:59;49.400001525878906;19.0;46.3125;52.4375;48.875;453.0;13.803999900817871;463.20001220703125
